category,name,link
地震,臨時地震,https://mao.5ch.net/eq/
地震,臨時地震+,https://sora.5ch.net/eqplus/
地震,緊急自然災害,https://rio2016.5ch.net/lifeline/
おすすめ,バスケット,https://medaka.5ch.net/basket/
おすすめ,国内サッカー,https://kizuna.5ch.net/soccer/
おすすめ,海外サッカー,https://kizuna.5ch.net/football/
おすすめ,野球総合,https://lavender.5ch.net/mlb/
おすすめ,プロ野球,https://rio2016.5ch.net/base/
おすすめ,野球ch,https://tanuki.5ch.net/livebase/
おすすめ,ちいかわ,https://kes.5ch.net/chiikawa/
be,なんでも質問,https://kizuna.5ch.net/nandemo/
be,朝生,https://kizuna.5ch.net/argue/
案内,ラウンジ,https://kizuna.5ch.net/entrance/
案内,ﾗｳﾝｼﾞｸﾗｼｯｸ,https://rio2016.5ch.net/entrance2/
案内,初心者の質問,https://kizuna.5ch.net/qa/
案内,PC初心者,https://medaka.5ch.net/pcqa/
案内,5chプロジェクト,https://info.5ch.net/wiki/
案内,すすコイン,https://krsw.5ch.net/susucoin/
案内,グッズリスト,https://kizuna.5ch.net/goods/
案内,ガイドライン,https://egg.5ch.net/gline/
案内,イベント企画,https://kizuna.5ch.net/event/
案内,証券取引所,https://rio2016.5ch.net/2chse/
案内,いろいろランク,https://info.5ch.net/rank/
案内,資料室,https://kizuna.5ch.net/dataroom/
案内,投票所,https://medaka.5ch.net/vote/
運営,運用情報,https://agree.5ch.net/operate/
運営,運用情報臨時,https://kes.5ch.net/operatex/
運営,規制情報,https://agree.5ch.net/sec2ch/
運営,規制議論,https://agree.5ch.net/sec2chd/
運営,削除要請,https://ace.5ch.net/saku2ch/
運営,削除整理,https://ace.5ch.net/saku/
運営,削除議論,https://agree.5ch.net/sakud/
運営,削除知恵袋,https://agree.5ch.net/sakukb/
馴れ合い,自己紹介,https://mevius.5ch.net/intro/
馴れ合い,ほのぼの,https://medaka.5ch.net/honobono/
馴れ合い,夢・独り言,https://medaka.5ch.net/yume/
馴れ合い,大規模OFF,https://medaka.5ch.net/offmatrix/
馴れ合い,定期OFF,https://mao.5ch.net/offreg/
馴れ合い,突発OFF,https://mevius.5ch.net/offevent/
社会,COVID-19,https://krsw.5ch.net/covid19/
社会,マスコミ,https://egg.5ch.net/mass/
社会,少年犯罪,https://egg.5ch.net/youth/
社会,自然災害,https://rio2016.5ch.net/disaster/
社会,消防救急防災,https://egg.5ch.net/119/
社会,男性論女性論,https://mevius.5ch.net/gender/
社会,議員・選挙,https://lavender.5ch.net/giin/
社会,政治家語録,https://kizuna.5ch.net/manifesto/
